Date,continent ,country,lat,long,confirmed,death,recovered
2020-01-22,Asia,"Korea, South",36,128,1,0,0
2020-01-23,Asia,"Korea, South",36,128,0,0,0
2020-01-24,Asia,"Korea, South",36,128,1,0,0
2020-01-25,Asia,"Korea, South",36,128,0,0,0
2020-01-26,Asia,"Korea, South",36,128,1,0,0
2020-01-27,Asia,"Korea, South",36,128,1,0,0
2020-01-28,Asia,"Korea, South",36,128,0,0,0
2020-01-29,Asia,"Korea, South",36,128,0,0,0
2020-01-30,Asia,"Korea, South",36,128,0,0,0
2020-01-31,Asia,"Korea, South",36,128,7,0,0
2020-02-01,Asia,"Korea, South",36,128,1,0,0
2020-02-02,Asia,"Korea, South",36,128,3,0,0
2020-02-03,Asia,"Korea, South",36,128,0,0,0
2020-02-04,Asia,"Korea, South",36,128,1,0,0
2020-02-05,Asia,"Korea, South",36,128,3,0,0
2020-02-06,Asia,"Korea, South",36,128,4,0,0
2020-02-07,Asia,"Korea, South",36,128,1,0,1
2020-02-08,Asia,"Korea, South",36,128,0,0,0
2020-02-09,Asia,"Korea, South",36,128,1,0,2
2020-02-10,Asia,"Korea, South",36,128,2,0,0
2020-02-11,Asia,"Korea, South",36,128,1,0,0
2020-02-12,Asia,"Korea, South",36,128,0,0,4
2020-02-13,Asia,"Korea, South",36,128,0,0,0
2020-02-14,Asia,"Korea, South",36,128,0,0,0
2020-02-15,Asia,"Korea, South",36,128,0,0,2
2020-02-16,Asia,"Korea, South",36,128,1,0,0
2020-02-17,Asia,"Korea, South",36,128,1,0,1
2020-02-18,Asia,"Korea, South",36,128,1,0,2
2020-02-19,Asia,"Korea, South",36,128,0,0,0
2020-02-20,Asia,"Korea, South",36,128,73,1,4
2020-02-21,Asia,"Korea, South",36,128,100,1,0
2020-02-22,Asia,"Korea, South",36,128,229,0,0
2020-02-23,Asia,"Korea, South",36,128,169,4,2
2020-02-24,Asia,"Korea, South",36,128,231,2,0
2020-02-25,Asia,"Korea, South",36,128,144,2,4
2020-02-26,Asia,"Korea, South",36,128,284,2,0
2020-02-27,Asia,"Korea, South",36,128,505,1,0
2020-02-28,Asia,"Korea, South",36,128,571,0,0
2020-02-29,Asia,"Korea, South",36,128,813,3,5
2020-03-01,Asia,"Korea, South",36,128,586,1,3
2020-03-02,Asia,"Korea, South",36,128,599,11,0
2020-03-03,Asia,"Korea, South",36,128,851,0,0
2020-03-04,Asia,"Korea, South",36,128,435,7,11
2020-03-05,Asia,"Korea, South",36,128,467,0,0
2020-03-06,Asia,"Korea, South",36,128,505,7,94
2020-03-07,Asia,"Korea, South",36,128,448,2,0
2020-03-08,Asia,"Korea, South",36,128,273,6,17
2020-03-09,Asia,"Korea, South",36,128,164,3,0
2020-03-10,Asia,"Korea, South",36,128,35,1,129
2020-03-11,Asia,"Korea, South",36,128,242,6,41
